site_name,sensor_Y,pixel_pos,pixel_lon,pixel_lat,n_matchups
MAFR,JPSS1,"-1,-1",-1.026184110091743,45.54170177614679,1369
MAFR,JPSS1,"1,-1",-1.0317522559139785,45.557727273655914,1564
MAFR,JPSS1,"1,0",-1.0428940301799188,45.556302683691236,1452
MAFR,JPSS1,"-1,0",-1.033865237082067,45.542228987841945,318
MAFR,JPSS1,"0,0",-1.0391623359683795,45.549358342556,709
MAFR,JPSS1,"1,1",-1.0509483913043478,45.55602377493606,385
MAFR,JPSS1,"0,1",-1.0481980303030303,45.55017390909091,33
MAFR,JPSS1,"-1,1",-1.049492,45.5588,16
MAFR,JPSS2,"-1,-1",-1.0259821049868767,45.54163843897638,1313
MAFR,JPSS2,"0,-1",-1.028773491629739,45.54995642725258,1393
MAFR,JPSS2,"0,0",-1.0389743686498234,45.54986420266232,661
MAFR,JPSS2,"1,-1",-1.0313601804382562,45.55829565122118,1472
MAFR,JPSS2,"-1,0",-1.0347410918163673,45.54165840718563,486
MAFR,JPSS2,"1,0",-1.0425863796465569,45.55657735588056,1385
MAFR,JPSS2,"1,1",-1.0517359677966103,45.55570572711864,558
MAFR,JPSS2,"0,1",-1.0532483414634146,45.56028675609756,41
MAFR,SNPP,"-1,-1",-1.0273525157480314,45.541526328740154,508
MAFR,SNPP,"0,-1",-1.029695191528545,45.549380988950276,543
MAFR,SNPP,"1,-1",-1.0319629074380166,45.556816631404956,605
MAFR,SNPP,"0,0",-1.038245586419753,45.55002417901235,162
MAFR,SNPP,"1,0",-1.0427925694444444,45.55597206150794,504
MAFR,SNPP,"-1,0",-1.0348158510638297,45.54343506382978,47
MAFR,SNPP,"1,1",-1.0508906966292135,45.55467703370787,89
THFR,S3A,"-1,-1",3.661240300200803,43.43809439156627,996
THFR,S3A,"0,-1",3.660348758308157,43.435532558912385,993
THFR,S3A,"1,-1",3.659481588832487,43.43295226903553,985
THFR,S3A,"-1,0",3.664880030693069,43.43744206633664,1010
THFR,S3A,"0,0",3.6640055724275724,43.434882673326676,1001
THFR,S3A,"1,0",3.6631540315581854,43.43232541518738,1014
THFR,S3A,"-1,1",3.66780577331996,43.43688737412237,997
THFR,S3A,"0,1",3.666908773547094,43.43434503406814,998
THFR,S3A,"1,1",3.666067532803181,43.4317872027833,1006
THFR,S3B,"1,-1",3.6595724513274335,43.43287621238938,904
THFR,S3B,"1,0",3.663321861587983,43.43224550321889,932
THFR,S3B,"-1,-1",3.6612301323529413,43.43801416628959,884
THFR,S3B,"0,-1",3.6604052046204623,43.435433645764576,909
THFR,S3B,"-1,0",3.6649911692477875,43.43738246570796,904
THFR,S3B,"0,0",3.6641550188679246,43.43478117647059,901
THFR,S3B,"-1,1",3.6682067450331126,43.43683186313466,906
THFR,S3B,"0,1",3.667372232222222,43.43423305444445,900
THFR,S3B,"1,1",3.6664886299892125,43.43168076699029,927
THFR,PACE,"-1,-1",3.6343691767100976,43.42107107654723,1228
THFR,PACE,"-1,0",3.6373764758064517,43.43445590591398,744
THFR,PACE,"0,-1",3.661558669117647,43.42236211617647,680
THFR,PACE,"1,-1",3.689297702857143,43.42334882857143,175
THFR,PACE,"0,0",3.66069283958021,43.43501723088456,667
THFR,PACE,"1,0",3.687832661111111,43.43436388333333,180
THFR,PACE,"-1,1",3.6391741403508773,43.444323315789475,57
THFR,PACE,"0,1",3.6552987177419354,43.443704491935485,124
THFR,AQUA,"-1,0",3.665704561886051,43.42604130058939,509
THFR,AQUA,"0,0",3.662071283464567,43.43346111023622,508
THFR,AQUA,"1,0",3.659894031818182,43.43526845,220
THFR,AQUA,"-1,1",3.6506224938875307,43.422161328850855,818
THFR,AQUA,"0,1",3.64824426125,43.4320063975,800
THFR,AQUA,"1,1",3.646964817857143,43.43868685,280
THFR,AQUA,"-1,-1",3.6811956363636362,43.42848736590909,440
THFR,AQUA,"1,-1",3.7019324705882353,43.378226794117644,34
THFR,AQUA,"0,-1",3.676666394736842,43.433251526315786,38
THFR,JPSS1,"0,0",3.6637322796934866,43.43462527509578,1305
THFR,JPSS1,"1,0",3.662384092449923,43.44095557781202,649
THFR,JPSS1,"-1,1",3.6556369936195665,43.42575255536355,1507
THFR,JPSS1,"0,1",3.653482592809791,43.433052597016825,1572
THFR,JPSS1,"1,1",3.6517026510903428,43.43994121287643,963
THFR,JPSS1,"-1,-1",3.6781016252699783,43.429408002159825,926
THFR,JPSS1,"-1,0",3.6659520823754788,43.42784407183908,1044
THFR,JPSS1,"1,-1",3.6679059310344826,43.44097148275862,29
THFR,JPSS1,"0,-1",3.677202585714286,43.43136525714286,70
THFR,JPSS2,"1,-1",3.6688225856890457,43.44267362279152,232
THFR,JPSS2,"-1,-1",3.677323949876456,43.42902988263325,1136
THFR,JPSS2,"-1,0",3.6660342747327337,43.42733773663669,1181
THFR,JPSS2,"0,0",3.6638414421364986,43.43421434152889,1423
THFR,JPSS2,"1,0",3.6613583796791445,43.44059054117647,938
THFR,JPSS2,"-1,1",3.6555738984778663,43.42487972154727,1447
THFR,JPSS2,"0,1",3.653509699141519,43.432646782778356,1553
THFR,JPSS2,"1,1",3.6510024292746963,43.43963262618969,1227
THFR,JPSS2,"0,-1",3.672880137096774,43.43354595564516,248
THFR,SNPP,"-1,1",3.6554042903834065,43.42502404462602,1591
THFR,SNPP,"0,1",3.652833294936709,43.43271579620253,1580
