site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,PACE,375,RHOW,32,28,15,12,1.9766,2.1906,1.9522,3.3589,5.7792,-0.080492,-0.039337,-0.015417,NA,TRUE,TRUE,0.012137,0.009508,55.3114,-0.625719,-0.138833,0.221307,0.170386,0.625872,0.789491,-167.1789,-16.4345,16.7847,20.7878,100.42,167.1789
MAFR,HYPERNETS,PACE,376,RHOW,32,28,15,12,1.875,2.1204,1.881,3.2537,5.6283,-0.079576,-0.038598,-0.014909,NA,TRUE,TRUE,0.011933,0.009567,54.9335,-0.633282,-0.160373,0.194091,0.193367,0.634324,0.783793,-172.6927,-19.47,14.2268,24.2684,96.616,172.6927
MAFR,HYPERNETS,PACE,377,RHOW,32,28,15,12,1.8756,2.1383,1.8477,3.1761,5.4596,-0.077766,-0.037994,-0.014857,NA,TRUE,TRUE,0.011629,0.00952,54.4086,-0.6331,-0.17816,0.165778,0.214269,0.636015,0.770268,-172.5796,-22.1507,11.6163,27.6518,95.0333,172.5796
MAFR,HYPERNETS,PACE,378,RHOW,32,28,15,12,1.8752,2.1625,1.8102,3.0878,5.2672,-0.075657,-0.037278,-0.014779,NA,TRUE,TRUE,0.011322,0.00948,53.8595,-0.632895,-0.202922,0.12557,0.240858,0.63766,0.757018,-172.4716,-26.0305,7.5895,32.193,93.0805,172.4716
MAFR,HYPERNETS,PACE,379,RHOW,32,28,15,12,1.732,2.1066,1.6994,2.9169,5.0068,-0.072861,-0.035274,-0.013377,NA,TRUE,TRUE,0.011398,0.00973,54.3357,-0.637228,-0.245529,0.103481,0.27911,0.639876,0.748108,-175.6778,-33.0715,5.3169,39.1447,89.059,175.6778
MAFR,HYPERNETS,PACE,380,RHOW,32,28,15,13,1.7201,3.2255,1.6606,2.7213,4.4593,-0.062698,-0.032038,-0.013327,NA,TRUE,TRUE,0.011431,0.009975,58.4966,-0.65259,-0.348046,-0.130614,0.348046,0.65259,0.780642,-187.8443,-53.3851,-15.0237,53.3851,91.8727,187.8443
MAFR,HYPERNETS,PACE,381,RHOW,32,28,15,13,1.7446,2.8424,1.6539,2.6876,4.3675,-0.062067,-0.031904,-0.013342,NA,TRUE,TRUE,0.011239,0.009771,56.1892,-0.620928,-0.322803,-0.132068,0.322803,0.620928,0.760245,-163.8025,-47.6676,-15.2164,47.6676,84.8524,163.8025
MAFR,HYPERNETS,PACE,382,RHOW,32,28,15,13,1.7086,2.591,1.6159,2.6226,4.2567,-0.061021,-0.031168,-0.012775,NA,TRUE,TRUE,0.011117,0.009618,54.3132,-0.597742,-0.298361,-0.117925,0.298361,0.597742,0.73891,-148.5966,-42.5234,-13.369,42.5234,85.8111,148.5966
MAFR,HYPERNETS,PACE,383,RHOW,32,28,15,13,1.641,2.417,1.5586,2.535,4.1231,-0.059632,-0.030065,-0.011885,NA,TRUE,TRUE,0.011029,0.009515,52.6524,-0.587588,-0.282805,-0.101522,0.282805,0.587588,0.718154,-142.4757,-39.432,-11.2994,39.432,80.8985,142.4757
MAFR,HYPERNETS,PACE,384,RHOW,32,28,15,13,1.6066,2.2345,1.5237,2.4766,4.0253,-0.058587,-0.029205,-0.011128,NA,TRUE,TRUE,0.010906,0.009328,50.4414,-0.553947,-0.250795,-0.094305,0.250795,0.553947,0.709533,-124.1885,-33.4748,-10.4125,33.4748,78.9455,124.1885
