site_name,var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,RHOW,S3B,HYPERNETS,681,150,150,150,145,0.7027,0.6364,0.7861,0.8656,0.9531,0.012128,0.018666,0.024603,NA,TRUE,TRUE,0.026854,0.019906,46.2328,0.018913,0.21788,0.423933,0.148545,0.253294,0.430657,1.8913,21.788,42.3933,14.8545,27.134,43.875
MAFR,RHOW,HYPERNETS,S3B,1020,150,150,150,115,-0.2179,0.0578,-16.1052,-13.3813,-11.1181,0.035353,0.040356,0.046378,NA,TRUE,TRUE,0.02011,0.008718,829.4265,1.152275,2.228024,7.270489,1.152275,2.228024,7.270489,115.1938,222.8024,727.0143,134.7374,230.1958,727.0143
MAFR,RHOW,S3B,HYPERNETS,1020,150,150,150,115,-0.0012,0.0594,-0.0899,-0.0747,-0.0621,0.00288,0.003016,0.00318,NA,TRUE,TRUE,0.02011,0.008718,73.8436,-0.879078,-0.690213,-0.53523,0.57399,0.708458,0.893972,-727.0143,-222.8024,-115.1938,134.7374,230.1958,727.0143
MAFR,RHOW,HYPERNETS,S3_all,400,345,345,345,209,-0.6926,-0.273,-6.5878,-5.7523,-5.0228,0.146442,0.163913,0.183921,NA,TRUE,TRUE,0.039549,0.023303,111.7655,-0.752944,-0.420632,0.083927,0.354268,0.627503,0.905481,-304.7672,-72.6019,8.3927,47.6613,139.6769,402.1882
MAFR,RHOW,S3_all,HYPERNETS,400,345,345,345,209,-0.0209,-0.0178,-0.1991,-0.1738,-0.1518,0.027919,0.028495,0.029156,NA,TRUE,TRUE,0.039549,0.023303,611.7503,-0.077428,0.726019,3.047672,0.404921,0.866703,3.047672,-8.3927,72.6019,304.7672,47.6613,139.6769,402.1882
MAFR,RHOW,HYPERNETS,S3_all,412,345,345,345,268,-0.1476,0.0845,-4.8693,-4.3172,-3.8276,0.12644,0.139498,0.154227,NA,TRUE,TRUE,0.036254,0.022687,144.3689,-0.788762,-0.487226,-0.031564,0.330661,0.63937,0.895874,-373.4001,-95.018,-3.2593,45.2961,152.973,470.2741
MAFR,RHOW,S3_all,HYPERNETS,412,345,345,345,268,-0.0079,0.0127,-0.2613,-0.2316,-0.2054,0.031673,0.032313,0.033034,NA,TRUE,TRUE,0.036254,0.022687,484.1614,0.032593,0.950184,3.734001,0.426061,0.962585,3.734001,3.2593,95.018,373.4001,45.2961,152.973,470.2741
MAFR,RHOW,HYPERNETS,S3_all,442,345,345,345,324,0.0332,0.2848,2.5312,2.8238,3.1503,-0.096296,-0.082801,-0.070704,NA,TRUE,TRUE,0.034641,0.024009,67.3923,-0.576991,-0.403867,-0.100696,0.274781,0.487137,0.636756,-136.4017,-67.7478,-11.2009,37.0439,88.3227,150.9767
MAFR,RHOW,S3_all,HYPERNETS,442,345,345,345,324,0.0042,0.0659,0.3174,0.3541,0.3951,0.027933,0.029322,0.030567,NA,TRUE,TRUE,0.034641,0.024009,135.9695,0.112048,0.677479,1.364017,0.360875,0.759393,1.364017,11.2009,67.7478,136.4017,37.0439,88.3227,150.9767
MAFR,RHOW,HYPERNETS,S3_all,490,345,345,345,335,0.1264,0.3872,2.0329,2.2634,2.5201,-0.103395,-0.087622,-0.073456,NA,TRUE,TRUE,0.033842,0.02451,41.6756,-0.395153,-0.288253,-0.117908,0.225538,0.330914,0.441031,-65.3313,-40.4993,-13.3668,27.0297,47.1947,73.3102
MAFR,RHOW,S3_all,HYPERNETS,490,345,345,345,335,0.0247,0.113,0.3968,0.4418,0.4919,0.036134,0.038712,0.041028,NA,TRUE,TRUE,0.033842,0.02451,53.6706,0.133669,0.404993,0.653315,0.259929,0.458735,0.67577,13.3668,40.4993,65.3313,27.0297,47.1947,73.3102
MAFR,RHOW,HYPERNETS,S3_all,510,345,345,345,340,0.2345,0.4997,1.8154,2.0185,2.2444,-0.099616,-0.083393,-0.068802,NA,TRUE,TRUE,0.033851,0.024366,35.0945,-0.33233,-0.240809,-0.098461,0.184111,0.281589,0.361764,-49.7747,-31.7192,-10.9216,21.6963,36.7242,55.1265
MAFR,RHOW,S3_all,HYPERNETS,510,345,345,345,340,0.0576,0.1398,0.4456,0.4954,0.5509,0.0379,0.041314,0.044385,NA,TRUE,TRUE,0.033851,0.024366,48.7365,0.109218,0.317194,0.497749,0.213783,0.355745,0.537394,10.9216,31.7192,49.7747,21.6963,36.7242,55.1265
MAFR,RHOW,HYPERNETS,S3_all,560,345,345,345,341,0.5405,0.813,1.3461,1.4867,1.642,-0.074487,-0.058991,-0.04496,NA,TRUE,TRUE,0.032797,0.023574,24.4724,-0.24517,-0.167851,-0.082345,0.12299,0.194748,0.265296,-32.4801,-20.1708,-8.9735,13.978,23.1659,35.4682
MAFR,RHOW,S3_all,HYPERNETS,560,345,345,345,341,0.2446,0.3829,0.609,0.6726,0.7429,0.0334,0.039678,0.045363,NA,TRUE,TRUE,0.032797,0.023574,27.429,0.089735,0.201708,0.324801,0.135403,0.230894,0.349999,8.9735,20.1708,32.4801,13.978,23.1659,35.4682
MAFR,RHOW,HYPERNETS,S3_all,620,345,345,345,340,0.7699,1.0336,1.0919,1.1842,1.2844,-0.034695,-0.025606,-0.017226000000000002,NA,TRUE,TRUE,0.033172,0.022381,29.2096,-0.268254,-0.171981,-0.074581,0.119122,0.205186,0.316722,-36.6594,-20.7702,-8.0596,13.4687,25.261,43.0822
MAFR,RHOW,S3_all,HYPERNETS,620,345,345,345,340,0.549,0.6434,0.7786,0.8444,0.9159,0.015776,0.021623,0.027013,NA,TRUE,TRUE,0.033172,0.022381,32.5433,0.080601,0.207703,0.366594,0.13237,0.248114,0.415493,8.0596,20.7702,36.6594,13.4687,25.261,43.0822
MAFR,RHOW,HYPERNETS,S3_all,665,345,345,345,340,0.8176,1.1016,1.0881,1.1749,1.2687,-0.029162,-0.021468,-0.014342,NA,TRUE,TRUE,0.032811,0.02115,34.2915,-0.300861,-0.16619,-0.056695,0.118414,0.20766,0.357412,-43.0331,-19.9314,-6.0103,13.1668,25.9366,48.6591
MAFR,RHOW,S3_all,HYPERNETS,665,345,345,345,340,0.5923,0.6434,0.7882,0.8511,0.919,0.013181,0.018271,0.022986,NA,TRUE,TRUE,0.032811,0.02115,41.0584,0.060104,0.199314,0.430331,0.127503,0.253771,0.464744,6.0103,19.9314,43.0331,13.1668,25.9366,48.6591
MAFR,RHOW,HYPERNETS,S3_all,673,345,345,345,340,0.8234,1.1155,1.0879,1.174,1.267,-0.028774,-0.021246,-0.01427,NA,TRUE,TRUE,0.032721,0.021126,35.2289,-0.313954,-0.169137,-0.052952,0.119389,0.215195,0.366171,-45.763,-20.3568,-5.5913,13.135,27.258,50.3694
MAFR,RHOW,S3_all,HYPERNETS,673,345,345,345,340,0.5974,0.6439,0.7893,0.8518,0.9192,0.013117,0.018096,0.022711,NA,TRUE,TRUE,0.032721,0.021126,41.7282,0.055913,0.203568,0.457631,0.130065,0.262086,0.477801,5.5913,20.3568,45.763,13.135,27.258,50.3694
MAFR,RHOW,HYPERNETS,S3_all,681,345,345,345,340,0.8275,1.1132,1.0866,1.1721,1.2643,-0.028245,-0.020841,-0.013978,NA,TRUE,TRUE,0.032606,0.020967,35.5032,-0.314887,-0.171896,-0.058395,0.116331,0.214288,0.362488,-45.9613,-20.7578,-6.2019,13.0759,27.1789,50.6243
MAFR,RHOW,S3_all,HYPERNETS,681,345,345,345,340,0.6024,0.6517,0.791,0.8532,0.9203,0.012863,0.017781,0.022341,NA,TRUE,TRUE,0.032606,0.020967,40.843,0.062021,0.207578,0.459613,0.12693,0.257046,0.487397,6.2019,20.7578,45.9613,13.0759,27.1789,50.6243
MAFR,RHOW,HYPERNETS,S3_all,1020,345,345,345,289,-0.9084,0.1191,-26.8472,-23.9106,-21.2952,0.06133,0.067128,0.073638,NA,TRUE,TRUE,0.035075,0.012091,1284.4156,0.768532,1.974522,6.861963,0.768532,1.974522,6.861963,76.8532,197.4522,686.1963,81.5328,204.1612,686.1963
MAFR,RHOW,S3_all,HYPERNETS,1020,345,345,345,289,-0.0016,0.0858,-0.047,-0.0418,-0.0372,0.002743,0.002807,0.00288,NA,TRUE,TRUE,0.035075,0.012091,66.7028,-0.872805,-0.663811,-0.434559,0.467469,0.679872,0.876316,-686.1963,-197.4522,-76.8532,81.5328,204.1612,686.1963
MAFR,RHOW,HYPERNETS,S3A,400,195,130,130,89,0.1606,0.0451,1.2916,1.5942,1.9676,-0.032875,-0.023775,-0.016401,NA,TRUE,TRUE,0.01463,0.011938,48.6327,-0.619909,-0.420394,-0.142903,0.303975,0.427293,0.637009,-163.0946,-72.5311,-16.673,39.4013,73.7251,175.4893
MAFR,RHOW,S3A,HYPERNETS,400,195,130,130,89,0.0632,0.0065,0.5082,0.6273,0.7742,0.012698,0.014914,0.016709,NA,TRUE,TRUE,0.01463,0.011938,443.8371,0.16673,0.725311,1.630946,0.282647,0.725311,1.630946,16.673,72.5311,163.0946,39.4013,73.7251,175.4893
MAFR,RHOW,HYPERNETS,S3A,412,195,130,130,113,0.1088,0.0174,1.1682,1.4076,1.6961,-0.030699,-0.022709,-0.016078,NA,TRUE,TRUE,0.017148,0.014118,59.7046,-0.663973,-0.391575,-0.186094,0.287834,0.436836,0.761037,-197.5948,-64.3587,-22.8643,39.7626,75.3003,219.0939
MAFR,RHOW,S3A,HYPERNETS,412,195,130,130,113,0.0549,0.0031,0.5896,0.7104,0.856,0.013764,0.016133,0.0181,NA,TRUE,TRUE,0.017148,0.014118,350.2693,0.228643,0.643587,1.975948,0.304026,0.705441,1.975948,22.8643,64.3587,197.5948,39.7626,75.3003,219.0939
MAFR,RHOW,HYPERNETS,S3A,442,195,130,130,127,0.2407,0.3002,0.8986,1.0669,1.2666,-0.024837,-0.016331,-0.009167,NA,FALSE,TRUE,0.01873,0.015883,42.5355,-0.518635,-0.315773,-0.159055,0.210803,0.328227,0.53919,-107.7428,-46.1502,-18.914,25.8599,48.8598,109.0116
MAFR,RHOW,S3A,HYPERNETS,442,195,130,130,127,0.2114,0.1632,0.7895,0.9373,1.1128,0.010201,0.015307,0.019608,NA,FALSE,TRUE,0.01873,0.015883,74.3395,0.189141,0.461502,1.07743,0.229754,0.480139,1.07743,18.914,46.1502,107.7428,25.8599,48.8598,109.0116
MAFR,RHOW,HYPERNETS,S3A,490,195,130,130,130,0.3413,0.4591,0.761,0.8939,1.0499,-0.017662,-0.007905,4.02e-4,NA,FALSE,FALSE,0.019093,0.016648,26.624,-0.340445,-0.252327,-0.137731,0.173419,0.262144,0.349599,-51.6173,-33.7488,-15.9732,20.9803,35.0789,52.1235
MAFR,RHOW,S3A,HYPERNETS,490,195,130,130,130,0.4271,0.3609,0.9524,1.1188,1.3141,-5.28e-4,0.008844,0.016822,NA,FALSE,FALSE,0.019093,0.016648,38.2844,0.15973300000000001,0.337493,0.516174,0.200994,0.342455,0.521237,15.9732,33.7488,51.6173,20.9803,35.0789,52.1235
MAFR,RHOW,HYPERNETS,S3A,510,195,130,130,130,0.4456,0.5882,0.7258,0.8414,0.9754,-0.011876,-0.002102,0.006329,NA,TRUE,FALSE,0.018146,0.015898,21.5711,-0.27535,-0.196282,-0.12041,0.155062,0.207683,0.290523,-37.9981,-24.4218,-13.6894,17.5589,26.0447,39.1778
MAFR,RHOW,S3A,HYPERNETS,510,195,130,130,130,0.6295,0.5691,1.0252,1.1885,1.3778,-0.00872,0.002498,0.012176,NA,TRUE,FALSE,0.018146,0.015898,28.2308,0.136894,0.244218,0.379986,0.169595,0.254079,0.391789,13.6894,24.4218,37.9981,17.5589,26.0447,39.1778
MAFR,RHOW,HYPERNETS,S3A,560,195,130,130,130,0.6485,0.7947,0.73740000000000006,0.8207,0.9133,-0.004382,0.005044,0.013514,NA,TRUE,FALSE,0.017503,0.015296,14.6669,-0.191212,-0.145419,-0.085247,0.096496,0.150928,0.195443,-23.642,-17.0165,-9.3192,10.6801,17.3852,24.0837
MAFR,RHOW,S3A,HYPERNETS,560,195,130,130,130,0.9629,0.875,1.0949,1.2185,1.3561,-0.018327,-0.006147,0.004797,NA,TRUE,FALSE,0.017503,0.015296,17.5438,0.093192,0.170165,0.236422,0.106802,0.173852,0.240839,9.3192,17.0165,23.642,10.6801,17.3852,24.0837
MAFR,RHOW,HYPERNETS,S3A,620,195,130,130,130,0.8678,1.0125,0.868,0.9198,0.9746,-0.009067,-0.003884,0.001007,NA,TRUE,FALSE,0.015413,0.013224,14.3234,-0.202894,-0.130219,-0.082886,0.093436,0.131435,0.204832,-25.4543,-14.9714,-9.0381,10.28,15.1324,25.4543
MAFR,RHOW,S3A,HYPERNETS,620,195,130,130,130,1.0259,0.9207,1.0261,1.0872,1.1521,-0.00116,0.004223,0.009304,NA,TRUE,FALSE,0.015413,0.013224,17.3359,0.090385,0.149715,0.254547,0.10064,0.150748,0.254547,9.0381,14.9714,25.4543,10.28,15.1324,25.4543
